PassengerId,Survived
1032,0.08126407
1033,0.59779656
1034,0.14072192
1035,0.17349008
1036,0.26979014
1037,0.05228219
1038,0.5673291
1039,0.14486466
1040,0.2108647
1041,0.43212238
1042,0.87656116
1043,0.13381308
1044,0.10304011
1045,0.7761671
1046,0.028727038
1047,0.13978723
1048,0.81794244
1049,0.5856384
1050,0.4204614
1051,0.7185527
1052,0.5017898
1053,0.44298327
1054,0.5650076
1055,0.13381308
1056,0.5807973
1057,0.6889902
1058,0.23935257
1059,0.081869215
1060,0.9522072
1061,0.5891057
1062,0.13381308
1063,0.13381308
1064,0.117140256
1065,0.13381308
1066,0.063538775
1067,0.63210064
1068,0.58531964
1069,0.2514954
1070,0.9782525
1071,1.2973528
1072,0.16772398
1073,0.45402676
1074,0.8602377
1075,0.13381308
1076,0.9166411
1077,0.14525247
1078,0.6723271
1079,0.08502831
1080,0.040506743
1081,0.13790615
1082,0.116509505
1083,0.2108647
1084,0.29563153
1085,0.11994128
1086,0.6855986
1087,0.15155423
1088,0.89330053
1089,0.6011155
1090,0.19162369
1091,0.8020884
1092,0.5017898
1093,0.97241855
1094,0.81446177
1095,0.65743786
1096,0.1835096
1097,0.2108647
1098,0.46586457
1099,0.22306846
1100,0.75424
1101,0.13762456
1102,0.13573796
1103,0.13381308
1104,0.2354698
1105,0.73370147
1106,0.17199694
1107,0.2519794
1108,0.56962776
1109,0.10007224
1110,1.0731516
1111,0.14735702
1112,0.6065296
1113,0.16886422
1114,0.86063814
1115,0.16886422
1116,0.9801135
1117,0.776521
1118,0.16003016
1119,0.5017898
1120,0.12110929
1121,0.17314227
1122,0.29046547
1123,0.63714206
1124,0.12284808
1125,0.13381308
1126,0.2776467
1127,0.17444976
1128,0.26454565
1129,0.15149863
1130,0.4699232
1131,1.105121
1132,0.97303677
1133,0.65426064
1134,0.36622116
1135,0.13381308
1136,0.056816746
1137,0.33938217
1138,0.8529419
1139,0.09598803
1140,0.8483665
1141,0.7964993
1142,0.8796604
1143,0.21429098
1144,0.32920492
1145,0.15639766
1146,0.12551591
1147,0.14735702
1148,0.13381308
1149,0.13210432
1150,0.651235
1151,0.16886422
1152,0.103431
1153,0.16886422
1154,0.87080693
1155,0.85379755
1156,0.19448853
1157,0.13381308
1158,0.24884617
1159,0.14735702
1160,0.56962776
1161,0.1672608
1162,0.32635513
1163,0.13381308
1164,0.921655
1165,0.41808474
1166,0.14735702
1167,0.69678104
1168,0.17349008
1169,0.103023775
1170,0.12414443
1171,0.19635904
1172,0.5185071
1173,0.8280387
1174,0.5017898
1175,0.5956571
1176,0.8334265
1177,0.12127545
1178,0.17176546
1179,0.275155
1180,0.47464997
1181,0.13381308
1182,0.24884617
1183,0.63222307
1184,0.13381308
1185,0.4738273
1186,0.12127545
1187,0.13564458
1188,0.837471
1189,0.07215459
1190,0.20024441
1191,0.13049927
1192,0.13573796
1193,0.3822586
1194,0.12893915
1195,0.13978723
1196,0.56962776
1197,1.0688694
1198,0.29420355
1199,0.892135
1200,0.16640644
1201,0.85332996
1202,0.18959862
1203,0.14486466
1204,0.13381308
1205,0.45680588
1206,1.1915199
1207,0.54056925
1208,0.17594996
1209,0.21536595
1210,0.14735702
1211,0.10500182
1212,0.15012887
1213,0.48001194
1214,0.53048474
1215,0.19093345
1216,0.57089233
1217,0.1421794
1218,0.7165309
1219,0.20300339
1220,0.1262754
1221,0.17527616
1222,1.0419265
1223,0.22444402
1224,0.13381308
1225,0.7107669
1226,0.13381308
1227,0.39615992
1228,0.1868328
1229,0.10398716
1230,0.16316575
1231,0.082147546
1232,0.22433941
1233,0.13573796
1234,0.18473957
1235,1.2212497
1236,0.062044952
1237,0.6074015
1238,0.17994156
1239,0.87306714
1240,0.165751
1241,0.54435986
1242,1.1127077
1243,0.1835096
1244,0.18973252
1245,0.08594229
1246,0.925443
1247,0.46990776
1248,1.132636
1249,0.13381308
1250,0.13381308
1251,0.8574471
1252,0.0031815683
1253,0.7402795
1254,0.94361174
1255,0.13381308
1256,0.9061136
1257,0.5029751
1258,0.099149935
1259,0.6575561
1260,0.9394947
1261,0.19856982
1262,0.13041444
1263,0.93269473
1264,0.25160438
1265,0.13840993
1266,0.81632805
1267,0.6111618
1268,0.35721317
1269,0.20173676
1270,0.29629037
1271,0.14830744
1272,0.13381308
1273,0.13564458
1274,0.74287677
1275,0.71173024
1276,0.17661566
1277,0.41182333
1278,0.18531133
1279,0.12249612
1280,0.1479307
1281,0.16719295
1282,0.3566516
1283,1.1905642
1284,0.34301484
1285,0.13046116
1286,0.046760846
1287,0.84571266
1288,0.13978723
1289,1.0073556
1290,0.16413291
1291,0.13782927
1292,0.82007486
1293,0.10487116
1294,0.6584806
1295,0.27614245
1296,0.33093634
1297,0.62459064
1298,0.14182392
1299,0.22174388
1300,0.56962776
1301,0.7382266
1302,0.5017898
1303,1.0448468
1304,0.5651382
1305,0.13381308
1306,1.090277
1307,0.12411699
1308,0.13381308
1309,0.057328418
